                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1073,                 2.6622,                 1.4954,                0.35134,                0.31959,                0.28526,                0.20711,                 1.1528,                 2.5173,                 1.5324,               0.003268,               0.003268,               0.003268
                     36,                 1.1065,                 2.6462,                 1.4939,                0.36119,                0.32217,                0.28728,                0.20779,                 1.1516,                 2.5098,                 1.5307,                0.00307,                0.00307,                0.00307
                     37,                 1.1016,                 2.6272,                 1.4907,                0.35567,                0.32064,                 0.2907,                0.21039,                 1.1491,                 2.4989,                 1.5287,               0.002872,               0.002872,               0.002872
                     38,                 1.0939,                 2.6039,                 1.4828,                0.37914,                0.31903,                0.29149,                0.21063,                 1.1482,                 2.4938,                 1.5273,               0.002674,               0.002674,               0.002674
                     39,                 1.0958,                 2.5803,                 1.4805,                0.36611,                0.32256,                0.29267,                0.21259,                 1.1471,                 2.4878,                 1.5248,               0.002476,               0.002476,               0.002476
                     40,                 1.0847,                 2.5711,                 1.4783,                 0.3607,                0.32697,                0.29365,                0.21343,                 1.1463,                 2.4803,                 1.5236,               0.002278,               0.002278,               0.002278
                     41,                 1.0972,                 2.5059,                 1.5382,                0.36291,                0.33273,                0.29809,                0.21691,                 1.1424,                  2.469,                 1.5187,                0.00208,                0.00208,                0.00208
                     42,                  1.085,                 2.4539,                 1.5294,                0.36922,                0.33096,                0.30087,                0.21887,                  1.139,                 2.4594,                 1.5151,               0.001882,               0.001882,               0.001882
                     43,                 1.0779,                 2.4197,                 1.5198,                0.37573,                0.33282,                0.30392,                0.22126,                 1.1363,                 2.4509,                 1.5131,               0.001684,               0.001684,               0.001684
                     44,                 1.0678,                 2.3817,                 1.5074,                0.37728,                0.33506,                0.30539,                 0.2224,                 1.1344,                 2.4444,                 1.5111,               0.001486,               0.001486,               0.001486
                     45,                 1.0683,                 2.3657,                 1.5079,                0.37597,                0.33707,                0.30788,                0.22425,                 1.1331,                 2.4388,                 1.5096,               0.001288,               0.001288,               0.001288
                     46,                 1.0547,                 2.3391,                 1.5008,                0.37775,                0.33999,                0.30925,                0.22548,                 1.1321,                 2.4343,                 1.5085,                0.00109,                0.00109,                0.00109
                     47,                 1.0537,                   2.31,                 1.4983,                0.37972,                0.34116,                0.31043,                0.22634,                 1.1314,                 2.4303,                 1.5075,               0.000892,               0.000892,               0.000892
                     48,                 1.0501,                 2.2783,                 1.4938,                0.36873,                0.34288,                0.31071,                0.22707,                 1.1308,                 2.4272,                 1.5069,               0.000694,               0.000694,               0.000694
                     49,                 1.0459,                 2.2669,                 1.4945,                0.37138,                0.34016,                0.31205,                0.22827,                 1.1303,                 2.4248,                 1.5063,               0.000496,               0.000496,               0.000496
                     50,                 1.0435,                 2.2447,                 1.4874,                0.37043,                0.34088,                 0.3126,                 0.2288,                   1.13,                 2.4229,                 1.5058,               0.000298,               0.000298,               0.000298
